书名,作者,总点击量,字数,简介
全民：开局氪金的我成就最强王者,白马长枪,1148万,394万,这是一个全民王者的时代。在提亚大陆上，每位王者都有属于自己的领土，建造属于自己的城池，招募强大的英雄，让自己成为最强的王者！重生归来的李墨，直接......
盗墓：青龙镇邪,星域旅行者,1147万,79万,本以为是配角晋升主角的新生，却不曾想内含另一个巨大的秘密，超越青铜门背后长生的终极，最终捍卫的却只是身为历代执钥人的执念…（内含完全独立的主线剧......
航海：曝光太阳神老师，伊姆追杀,航海剪辑,1147万,167万,金榜直播间降临，曝光海贼世界十大名师！举世震撼！泽法：我海军最强老师，不是第一？克洛克达尔、艾尼路：我教会太阳神属性克制，开发果实能力？雷利：虚......
影视：军二代从怒怼赵蒙生开始,飞跃的海,1149万,149万,穿越《高山下的花环》，成为意外惨死的雷军长之子――小北京雷凯华！身为一名军二代，雷凯华却要前往最危险的尖刀连，开启荣耀系统，获得成就，就有奖励！......
综漫：从征服木叶开始,兔子水中游,1149万,603万,“没有人一开始就站在天上。”“不管是火影或者忍界之神。”“但这天之王座的空窗期已经太久了。”“这个世界！需要变革！”“力量才是铸就和平的唯一途径......
洪荒：开局成为接引准提的兄长！,木易大天尊,1149万,160万,穿越洪荒天地，成为先天四莲之一的十二品功德金莲！与接引准提成为了邻居，率先化形，成为二人的兄长！在龙汉之劫之中低调发育，搜刮天材地宝，成为幕后的......
大明：老朱得聊天群，封我皇太孙,风起轻岚,1148万,141万,洪武二十四年，朱允策穿越大明，成为历史中本不存在的皇孙，他选择默默苟活低调发育。岂料，朱元璋意外得到聊天裙，而此裙竟来自于未来六百多年后，他们洞......
全员恶人，海军出来洗地了,海贼no2,1147万,124万,一觉醒来，自己居然成了王路飞。开局就是水之都篇章，全员重伤，罗宾被抓，十几艘军舰蓄势待发，还有强大的敌人cp9！上来就是地狱难度，路飞整个人都不......
全民领主：骷髅弱？我爆兵万万亿,辰帝,1148万,253万,领主时代，人人皆有成神的可能。凌云重生五年前，觉醒最弱骷髅兵模板。同时意外觉醒SSS级天赋【亡灵天灾】。训练亡灵系兵种无上限。且可以将任何兵种转......
谍战：身份太多，特高课科长懵了,大大大平,1147万,285万,穿越到集《伪装者》、《叛逆者》、《隐形守护者》、《风筝》等谍战剧中的明智。以商界大佬、特高课顾问、军统暗影、我党猎人等多重身份，帮助我党获取情报......
精灵：开局秒杀神级喷火龙！,是绘梨衣吖,1147万,217万,陈然穿越到和精灵融合的世界开局成为大一新生领取一颗精灵蛋，获得秒杀系统…神级小火龙！秒杀价：一块钱！…闪电鸟的本源雷霆秒杀价：还是一块钱！…阿尔......
四合院：我能看穿禽兽秘密,南城大帝,1147万,257万,一觉醒来，李胜利发现自己穿越到了四合院，成为了一个小钳工，在这个动荡的年代，李胜利只想安安稳稳过日子。可没想到觉醒了看穿人秘密的系统，这下李胜利......
盗墓：神级血脉，从精绝古城开始,我老熊想上天榜,1147万,225万,穿越到盗墓大世界，江白觉醒了神级血脉系统。一开局就接触白骆驼，激活了上古凶兽血脉！接触烛九阴，激活烛龙血脉，水元素亲和！接触精绝女王，激活神之眼......
误将军演当游戏，活捉蓝方指挥官,娱文娱乐2,1147万,161万,龙炎穿越至平行世界蓝星。误入全息军演模拟系统，将军演当成游戏。游戏而已，直接莽就是了！初来乍到的龙炎，直接夺下指挥权限，一阵疾风暴雨般的操作，打......
特种兵：救了沈鸽并跑废燕破岳,桔香满院,1145万,136万,陈锋重生到了一个特种兵融合的影视中，收到入伍通知书海边旅游的时候在海中救了陆战旅的参谋沈鸽，并且把自己的初吻给了对方，同时也认识了蒋小鱼和龙百川......
娱乐：戏曲天花板，开局拒绝春晚,生煎包,1144万,211万,原定参加春晚的苏晨，却被法师挤掉了名额，苏晨的师傅也因此含恨而终。绑定系统的苏晨，誓要为师傅，要为戏曲讨回公道。在明日之子上。一曲赤伶，一句位卑......
业绩太差，被女总裁带去见家长,上班摸鱼1,1144万,203万,因为业绩太差，林凡被家里催婚的女总裁苏冰雨拉去见了家长。苏冰雨本以为林凡是小职员，业绩又不好，老爸根本看不上林凡。谁知林凡跟老爸臭味相投，很受老......
综武：人在移花宫，开局强吻邀月,忆无痕,1144万,157万,综武世界，波澜壮阔！穿越而来的李长安自小拜邀月怜星为师，在移花宫长大。随着年龄的增长，他发现自己天赋一般，资质平平，还没有外挂。长相是唯二长处。......
曝光二创名场面，被全提瓦特追杀,不吃辣的喵酱,1143万,150万,苏辰穿越原神世界，成为一名旅行者，但没想到，他前世所创作的二创视频，竟然也跟着穿越过来。于是乎，提瓦特的画风变了。八重神子：“旅行者，我的尾巴好......
全民领主：从花匠到神农大帝！,天榜张天师,1142万,217万,【领主，植物大战僵尸，种田，时空冒险】外神入侵蓝星，永夜降临。幸好天道觉醒，人人可转职成领主，抵御尸潮、虫族等！更可怕的是，魔神还企图修改历史，......
娱乐探秘：开局八奇技，摆件杨蜜,无名之名,1142万,167万,张岚穿越到盗墓世界，成为考古直播节目搞节目效果的工具人。最初，所有人都以为张岚不过是一个再普通不过的小鲜肉…机关巨蛇包围节目组，张岚祭出神机百炼......
武侠：刚成神医，给李寒衣保胎！,一颗小火苗,1141万,240万,综武世界，皇朝林立，江湖纷乱，侠客争雄！白羽穿越而来，觉醒天医系统，只要治病救人即可获得各种奖励。自此，雪月城里便出了一个名留千古的神医！他的一......
索隆师兄，伟大航路的疾风剑豪,海贼落叶,1141万,351万,洛亚穿越到海贼世界，成为索隆师兄！而且激活了改变命运系统，只要改变人物角色命运，就能获得万界随即奖励！娜美罗宾？薇薇乌塔？拿来吧你！【改变娜美命......
都市：林妙妙和我是青梅竹马？,李子李,1141万,388万,穿越到《少年派》的世界，和林妙妙是青梅竹马意外觉醒系统，只要获得怒气值就能进行抽奖以及兑换奖品。于是叶飞各种花式惹怒他们……叶飞：报告老师，我举......
洪荒：开局献祭阐教仙,仙海上榜,1140万,386万,穿越成纣王之子武庚，开局献祭阐教仙，逆改封神未来！代父题诗女娲宫，代父纳妾苏妲己，代父玩弄小狐狸，代父..具现水稻圣人，使天下衣食无忧，提升殷商......
四合院：火葬场复活，众禽吓尿了,四环如风,1140万,139万,父母支援西北军工建设成了烈士！十六岁的周爱国被分配到了轧钢厂工作，还居住在四合院！满院子都是禽兽，日夜算计周爱国。为了先进个人和自行车票，众禽居......
娱乐：群发表白信，收件人都是影后,大秦赵政,1139万,161万,从业十五年，胡枫拍过上百部作品，合作过百位女神。诸如“仙剑1”中的刘天仙，“仙剑3”中的大蜜蜜、师师，“神话”中的白小冰，“伪装者”中的宋铁、王......
美漫：我举全球之力建造天刃七号,天使的王,1139万,340万,穿越漫威，江白意外发掘到了天刃七号遗迹。每修复一部分，便可解锁天使科技！修复2%：恭喜宿主获得一代神体！修复10%：成功召唤天使战斗军团！修复5......
加入聊天群的我被当成高人,乱世浮屠,1138万,287万,穿越到一个灵气复苏、妖魔鬼怪横行的世界，却不能修行，叶枫只能当一个普通人，每天写写画画，陶冶情操。结果被拉入一个全是中二病的聊天**。里面的人自......
人在大秦写日记，祖龙给我纳妾,柯南,1138万,163万,穿越秦朝，成为嬴政儿子，赢澜身负多子多福和写日记双重系统。日记好写，但这多子多福就有点麻烦了！毕竟，这个世界的美女角色，大多都是其余六国的。就算......
四合院：想我养老？搬出四合院,智多星,1138万,353万,一觉醒来，刘卫东发现自己穿越了，来到了《情满四合院》的世界里。并且，开局就被壹大爷易中海，和聋老太太吓跑了他的相亲对象。幸好刘卫东绑定了一款怨念......
四合院：过继易中海，我选择啃老,林十柒,1138万,217万,郝向阳穿越五十年代末，亲历天灾，父母病故后，只身投奔远在四九城的表亲。结果到了四合院才发现，自己投奔的正是情满四合院壹大爷易中海！你想我养老？郝......
盘点诸天强者，动漫狠人震惊万界,小小傲龙,1137万,196万,苏羽穿越到龙珠世界，天道金榜系统激活，只要金榜盘点诸天万界强者，他就能获得奖励。龙珠、火影忍者、海贼王、神奇宝贝、死神、全职猎人、妖精尾巴、弹指......
红楼：贾府弃子，开局一个聚宝盆,卖饼小郎君,1137万,159万,贾瑜穿越到了红楼世界，老爹贾治是祖父贾代化的庶子，从小不受重视，后来被作为贾府弃子送到战场，直接战死。母亲柳氏平时深受堂哥贾珍和堂嫂尤氏欺凌，母......
热芭追尾坦克300？这真坦克！,昨夜梦回长白山,1137万,225万,“喂，请问是保险吗？我好像追尾了。”“请问对面什么车？”“坦克。”“坦克300吗？”“不，全名好像叫做m1a2sepv4坦克。”喜提新车的热芭，......
武侠：我济公，开局搓泥丸救徐骁,韩狗,1137万,262万,李修源睁开眼，便发现自己穿越到综武世界，并且还成了乞丐好在觉醒神级扮演系统，开局扮演活佛济公从此多了一个游戏人间，还吃酒喝肉的花和尚这日，北凉王......
记忆回溯节目，基金会被曝光,电车蒂法,1137万,236万,喜马拉雅山脉突然崩塌，世界哗然，一队昏迷在现场，身穿scp字样服饰的人被带了出来。随着他们在记忆回溯节目上，曝光所有记忆影像后，一个名为scp基......
末日将至：人在鹰酱，疯狂零元购,兜里没有糖,1137万,152万,【只有主角有异能】距离末日爆发还有十天。我重生了。人在鹰酱丑约市，开局觉醒了空间异能。拥有一个超大空间仓库。听说丑约年代广场附近，有四十多家大型......
娱乐：开局天仙母女求放过！,乱上天榜,1135万,175万,林凡意外重生到平行世界，绑定了金手指――娱乐神豪系统，得到了一家娱乐公司，刚接手公司，天仙姐姐柳亦菲就想解约离开，天仙母女：林董，求解约，求放过......
娱乐探秘：摸尸变强女王提棺跑路,一枝穿云箭,1134万,256万,张晨探班女友热芭，被抓壮丁参加《禁地探险》节目。所有人都以为他来打酱油蹭流量的。可当黑风暴来临时。他双手掐诀，一条沙土组成的土龙，驮起所有人就跑......
洪荒：我，东王公，开局疯狂纳妾,别叫我江江江囡,1134万,285万,开局穿越男仙之首东王公，掌管洪荒万仙！什么？还给配了个布种系统？女人越多，生孩子越多，奖励越多？既然如此，开局请婚鸿钧，拿下女仙之首西王母！先拿......
警探：我曹建军开局抓捕姐夫,金九银十,1134万,253万,《警察荣誉》平行世界，曹建军穿越到了同名同姓的民警曹建军身上。开局便遭遇势利丈母娘*眼看人低，恶语相向。“你就是一个普通的小警察，你干一辈子也是......
洪荒：我的道侣遍诸天,小小一枝花,1134万,152万,某日，老六女娲、憨憨后土掀桌子。后土：鸿钧，你居然敢掌控洪荒，奴役众生，夺取父神道果！女娲：鸿钧，老娘暗搓搓搞了那么多事，今天终于收获成果了！鸿......
民国：让你苟，你竟打造地表最强,小龙是我,1133万,345万,戴安明穿越民国二十一年，发现老爹是同盟元老，委座义结金兰的拜把兄弟，自己堂堂元老之子竟然成了保安？委座第一句话就是好好苟着戴安明人麻了，我天胡开......
僵尸：我御兽修仙，九叔羡慕哭了,沧海游龙,1133万,186万,苏阳穿越僵尸世界，成为混吃等死的假道士，好在激活神兽养殖系统，只要击杀敌人就能获得各种神兽培养资源！“叮咚！恭喜宿主成功进行血脉强化，小野猫进化......
神豪：从直播界开始的策马奔腾,招摇,1133万,249万,苏白穿越到一个平行世界！激活【女主播图鉴】系统，只要收集图鉴就能够获得各种奖励。开局新手大礼包获得魅力药水，顶级法拉利LaFerrair跑车和一......
大秦：开局召唤清微道长！,煮茶天榜,1133万,183万,重生综武大秦，成为即将登基亲政的嬴政。本该驱铁骑驭雄师横扫函谷关，一统天下于秦！结果系统却告诉他，这是综武世界，有武当，有少林，有魔门，有明教…......
灭族之夜：带领宇智波叛逃木叶！,木叶火影2,1133万,231万,重生火影世界，成为宇智波一族的成员。可眼下马上就是灭族之夜，宇智波枫的心中满是mmp！怎么办？在线等！非常急！！！幸好关键时刻，系统终于觉醒！开......
抗战：我楚云飞，蹭李云龙成将军,抗战兵王,1132万,255万,穿越亮剑世界，成为晋绥军358团团长楚云飞！开局就碰上苍云岭坂田联队一战！【选项一：袖手旁观，奖励：胆小如鼠绰号】【选项二：接应李云龙从正面突围......
港片：人在和联胜，血蛊系统！,辉煌听雨,1132万,227万,穿越八十年代的港综世界，林滨成为了一名卖鱼的和联胜小四九，并且觉醒‘血蛊系统’！自此，他可以掌控人心，操控生死！！..花费五十万，操控【蛊虫】提......
娱乐：让你介绍自己，你介绍家底,小小生有礼,1132万,228万,“在我最穷的时候，卡里不到五个亿，我很慌！”“我很苦恼，有四家千亿家族企业等着我继承，但我只有一个人！”“如果我不好好唱歌，就要回去继承四千亿家......
让你去扫黄、你把老丈人给逮了？,冲啦啦,1131万,254万,张海穿越到平行世界，警校毕业后成为了一名片警。兴高采烈的去女友家上门提亲，不料老丈人根本瞧不起警察那点工资，还将他扫地出门！扫黄行动中叮！【六亲......
直播：从系统返利开始当神豪！,kissk,1131万,294万,叶轩穿越到平行世界，成为魔都大学的一名学生。正当叶轩看着直播，感叹自己穿越没有金手指时，神豪返利系统突然绑定！花一万块就能够获得几十倍甚至上百倍......
灌篮，开局百分百命中三分球,一飞冲天天,1131万,160万,龙彦在病床上醒来。竟然穿越到灌篮高手的世界中。觉醒神级篮球训练系统，开局获得黑篮中绿间真太郎的全场范围投射技能。吓傻众人。在自身热爱篮球的前提下......
综影：财阀小儿子四合院孟钰邻居,乾元,1131万,237万,陈道俊看到财阀小儿子的结局，气的醉酒穿越，本以为会成为财阀小儿子陈道俊，没想到来到民国时期的四合院，那时候何大清还没有和白寡妇逃走，甚至白寡妇丈......
三国：谋圣从董卓要嫁孙女开始,娱乐精灵儿,1130万,155万,穿越汉末，云昭成为凉州陈仓一位隐世公子。激活“隐世签到系统”，云昭只要签签到就能变强，专心过起自己的咸鱼生活。然而，就在这一天，某个被云昭称为“......
星穹铁道：开局打造基金会,地里的可达鸭,1130万,182万,白玄成为星穹列车上一个平平无奇的乘客。幸运的是，他绑定了【收容物普及系统】。只要不断发布收容物视频，不断提高收容物普及度，让收容物以及基金会被更......
西游：让你选妃，没让你淫乱龙宫,北斗天枢星,1130万,142万,敖尘穿越西游，龙族式微，备受打压。幸好觉醒多子多福系统，只要纳妾生孩子就能增长修为，获得奖励。后代修炼，还能暴击返还。于是，为了龙族崛起，为了长......
十大觉醒爆种，开局太阳神路飞！,楚门的世界l,1130万,205万,江玄穿越平行世界，绑定万界剪辑投影系统，只要将剪辑过后的视频发布，就能够获得奖励。剪辑过后的视频热度越高，奖励也越丰富，于是为了引爆全场，江玄开......
全民领主：让你备战，没让你备孕,当益,1130万,322万,全民领主的时代，苏白成为隶属大秦联邦的新手领主，激活天赋：貌美如花，召唤子民皆为女性！苏白摔桌：丢！**天赋！除了夜夜笙歌，有鸟用！激活金手指，......
木叶：开局变叛忍，激活废物系统,王大胖子,1129万,145万,作为木叶暗部普通一员的刘鸣，被团藏选中陪同参加五影会议。原本以为终于等到命运的馈赠。没想到的是...团藏竟然在五影会议上作妖。导致刘鸣一同被永远......
变身动漫人物在类地世界,不想出门的路痴,1129万,63万,邢旺，一个原本老实本分的大学生，唯一爱好就是喜欢各种动漫，当他在回校的路上出了车祸后，他得到了一个变身系统并穿越到了一个类地世界中穿越到类地世界......
民国：大少爷又又又娶姨太太了,文徒起飞,1129万,124万,穿越为民国独子阔少，获得枝繁叶茂系统。每增加一位妻妾或子嗣，就会获得对应的丰厚奖励。为了发展家族，复兴华夏，苏辰自愿“牺牲”了自己。当别人各种奋......
变身动漫人物在类地世界,不想出门的路痴,1129万,63万,邢旺，一个原本老实本分的大学生，唯一爱好就是喜欢各种动漫，当他在回校的路上出了车祸后，他得到了一个变身系统并穿越到了一个类地世界中穿越到类地世界......
民国：大少爷又又又娶姨太太了,文徒起飞,1129万,124万,穿越为民国独子阔少，获得枝繁叶茂系统。每增加一位妻妾或子嗣，就会获得对应的丰厚奖励。为了发展家族，复兴华夏，苏辰自愿“牺牲”了自己。当别人各种奋......
红楼：镇守孤城，开局大雪龙骑！,煌舞,1129万,199万,贾珀穿越红楼，成为荣国府后辈，原著中不存在的人物。随父从军，镇守边疆。雁门关苦守七年之久，早已被新帝遗忘，守将程始、萧元漪一死一伤，所有守军宁死......
红楼：我要加点修仙，姑娘请自重,砂糖柑,1128万,121万,穿越红楼，神京贾氏一族远房族人，激活功法技能加点系统贾琛眼睛一亮，自己在这一世绝不能再做996社畜，要加点修仙，长生不死只是他在修仙的过程中，遇......
双路飞对比，这个路飞太卷了！,瑞气祥云,1128万,212万,顶上战争，对比直播间忽然降临！对比的人物正是草帽海贼团的船长路飞！一白一红，双路飞上线！原世界的路飞，嘻嘻哈哈，遇事就莽！虽然自由自在，但在顶上......
综漫群聊，世界毁灭了才让我来？,莉莉艾,1128万,233万,闪现迁坟。刚穿越到一个新世界，结果这个世界毁灭了，苏夜成为了这个世界的最后一个人类。所幸聊天群降临，第一次签到就给了个‘终焉之茧’，然后和这个世......
和周姐结婚后，我无双科学家曝光,1231321,1127万,242万,叶尘穿越到平行世界，并且在24岁时成为最年轻的教授。某天，叶尘正在魔都大学讲课，身为当红女主播周淑芬忽然来了。正当所有人疑惑时，周淑怡红着脸看着......
开局十万死士，我在缅北称帝！,染指天下,1127万,241万,简介：开局被高薪骗到缅北佤邦逼着搞诈骗，本来想着要被噶腰子，刚好激活了系统获得十万死士，包围了诈骗窝点。十万死士没有钱怎么办，当然打诈骗窝点抢啊......
洪荒：开局融合混沌魔神,洪水公共,1126万,71万,重生混沌，融合混沌魔神，成为轮回魔神，吾当破开一切叠嶂，登临大道之巅！当轮回重生混沌的那一刻，这个洪荒，注定不一样了！当混沌魔神没有死，反而是来......
盗墓：扮演温迪，从昆仑神宫开始,江之寒,1126万,98万,江迪穿越盗墓世界，绑定了神级扮演系统，抽取到了“温迪”这个原神角色。只要扮演角色到达一定程度，属于风神巴巴托斯的能力以及武器，他都能拥有。至此，......
人在灵异东京可穿越二次元,黄庭立道,1125万,170万,二十八岁地球社会青年穿越成灵异东京里的十六岁高一生。这个世界，妖魔显现，普通人也知道妖魔的存在，不过有超凡势力抵御妖魔。石原勇太身为穿越者有二次......
封神：人在灌江口，迎娶三圣母,洪荒v大唐,1125万,161万,沈浩意外穿越到封神时代，获得签到系统，开局便是迎娶三圣母，不料大婚之日，天兵天将降临。为了保护自己的媳妇，以及即将被**在桃山的岳母瑶姬，沈浩不......
终极系列:开局觉醒青莲地心火,终极原神,1125万,192万,曹炎穿越终极一班3世界，进入终极一班。因没有系统，误入圈套陷入大力丸事件，惨被整个终极一班针对。不仅被雷婷终极裁决，更是让他退学！觉醒至尊炎帝系......
娱乐：这房怎么塌？他太耿直了！,狗娃百慕大,1125万,263万,谢恒穿越到平行世界，成为了刚入圈的流量小生。就在明星们都致力于打造人设，在镜头前带着面具时，谢恒的耿直却显得格外突出。记者：请问为什么选择成为演......
武侠：修仙一千年，被金榜曝光,天榜三十天,1125万,201万,一千年前，赵太初穿越九州大世界，开启岁月轮回系统，只需历经十世，便可证道成仙！九百年后，活出第十世的赵太初成为了大秦王朝秦武王遗腹子。为了证道成......
决赛现场玩原神，这是联盟选手？,鲸鱼不算鱼,1124万,221万,陈洛穿越成为LPL上单同时觉醒摆烂系统。其他游戏玩的越多，英雄联盟的水平就越高！于是乎，一位奇葩的职业选手出现了。在其他战队疯狂约战训练赛的时候......
四合院：禽兽丑事，我广而告之,丹青影,1124万,151万,刘秀穿越到禽满四合院的世界里，成为一名有着赫赫战功的退伍军人。退伍转业到红星轧钢厂，成为负责撰写广播稿的宣传科员。手握宣传工具的刘秀毫不客气，把......
呆小妹不听我言，出门被扎三刀,爆笑一哥,1124万,418万,林飞掐指一算呆小妹即将找他算卦再掐指一算，呆小妹几分钟后有血光之灾过了一会，呆小妹过完来到了林飞直播间，张口就问：我运势咋样？林飞说：你有血光之......
直播摆烂：从令人心动录取信开始,智多星,1123万,308万,一觉醒来，江尘穿越平行世界，成为了职场综艺《令人心动的office》中的一名嘉宾，社畜打工人。与江尘一同参加节目的，还有五名优秀毕业生，律界精英......
年代剧：四合院之30年风云激荡,四合院之狂飙,1123万,221万,苏前进穿越到了50年代的四合院剧情世界。当看到秦淮茹方便后，拿起了地上的土疙瘩，他决定进城生活了。从乡村到轧钢厂，从茅*屋到四合院。苏前进没打算......
大明：出征，朕的征北将军朱棣,消逝的紫月,1123万,498万,朱棣站在斡难河旁，“五百年来，打到这里的只有我了。”“不，您能打的更远。”追加五千万两白银、一千万石粮食、百万匹布、百万斤食盐的朱瞻壑笑着说道。......
港片：卧底被曝光？我黑化爆兵！,天玄12,1122万,211万,（暴兵流、黑化流）穿越港片，霍文耀发现自己卧底《无间道》身份被曝光。警察同事不信任，老大韩琛的手下追杀，还被女友唾弃，朋友仇恨。人不似人，鬼不似......
次元金榜：开局十大高燃震撼名场,灵昀,1123万,216万,次元金榜降临诸天万界！无数榜单出现，开局便是盘点十大高燃震撼名场面！恩奇都/吉尔伽美什：EnumaElish！凯文:无关乎抉择，无关乎存亡！此刻......
娱乐探秘：扮演神荼，队友热巴,焱�响�,1122万,190万,林枫穿越到平行世界，成为一个全网黑的小鲜肉明星，并且要和其他10位明星一起，参加一档名为《揭开神秘荒野面纱》的直播节目。这些地方都是人类禁区，相......
娱乐：让你上台卖惨，你上台笑场,喜欢周周,1122万,177万,穿越平行世界的叶辰，成为了某娱乐公司旗下的艺人。在公司的安排下，他参加了一档音乐选秀综艺。其他选手都在卖惨出道，在公司的安排下，叶辰也即将上台卖......
综视：叔叔祁同伟，带钟小艾狂飙,不是很一般,1122万,115万,祁俊华穿越到综视世界，开局成为叔叔祁同伟的侄子，以状元的成绩考取了夏国政法大学。走祁同伟老路，追求大十岁钟小艾变成自己老婆，从政法选调生一步登天......
武侠：将夜夫子，三世儒圣被曝光,娱乐中的国运,1121万,290万,苏言穿越阳神，成为洪易，当之无愧的文道之祖，儒学圣尊！此外，他也是方运、夫子！直至第四世，他意外穿越到一个综武世界！混在武侠世界的文道圣尊？！！......
武侠：华山，从与师娘练剑开始！,九溪,1120万,434万,穿越综武世界，成为华山派岳不**的弟子。如果是单笑傲江湖的世界还好，可这是综武！论内功心法，紫霞神功能排进前一百？论武学剑招，天外飞仙、剑神一笑......
娱乐：离婚后，杨老板喊我去签字,明珠岂蒙尘,1119万,225万,【超级甜宠文，宠妻宠娃，糖分爆表】陆岩穿越到平行世界，成了顶流，还娶了刘天仙为妻。婚后的陆岩太过佛系，咖位一落千丈，被刘家扫地出门，离婚收场。但......
谋圣身份瞒不住了，曹操跪求我出山,青瓜堂霸天哥,1119万,336万,帝国大陆，万国争霸。武有吕布、项羽、李存孝、李元霸、张飞、赵云。文有诸葛亮、刘伯温、贾诩、管仲、孙膑、孙武、张良。秦、汉、唐、宋、元、明、三国、......
大明，我福王每天揍沙雕,胡校长,1117万,127万,穿越到大明末年成为福王朱常洵，一个四百斤的大胖子，他不想被李闯给烹了做福禄宴！绑定了沙雕系统，只要揍沙雕就会有奖励！手下长史是沙雕，一天打三次！......
洪荒：请纣王退位，开局逆转封神,大秦洪荒人,1116万,239万,穿越来到洪荒，成为纣王之子武庚，开局请纣王退位，强势逆转封神量劫。之后加入聊天裙，成为聊天裙裙主，获得无限增幅系统。盘古精血千万倍增幅，化作盘古......
与热芭恋爱，航天科研人的浪漫,7,1116万,181万,于途，天才科学家，隐姓埋名的航天奠基人。因常年单身，院长为他报名了《我们恋爱吧》节目，素人与明星配对、恋爱。在随机安排下，于途和热芭成功配对。但......
预知股市走势，开局偶遇大蜜蜜！,地下城99号,1116万,148万,重生2004年，林晨成了顶级军二代。但这个背景通天、家训严格的家庭却有一个致命的缺点，没钱！面对即将到来的05年疯牛，板块暴涨5倍的大牛市，林晨......
我在金三角打造红警基地,豆腐脑加辣,1115万,168万,王耀穿越成被黑中介骗到金三角的华人猪仔，险遭割腰子。幸好危急时刻他激活红警系统，招募红警战士与金三角的军阀、毒枭战斗！然而这片三不管地带已经沦为......
老天师头七，我引天雷被周姐曝光,菜市场杀鱼1,1115万,206万,"我叫张清玄,今天是我师父羽化飞升的第七天.我惯例的为师父举办了一场葬礼,可正当我烧完纸钱回房间的时候。一个女鬼来到了我门前，非要我去参加她老爷的......"
恶魔:无限进化！,夜凉,1115万,67万,莫南:我死了！兄弟？亲人？父母？哈哈……只有背叛、出卖、抛弃……仇人得意的笑，众生恨我入骨，我也恨自己无能，所以我自绝而亡。可是，我又活了，从地......
双大明对比：咱大明成日不落了？,无名之名,1115万,156万,朱铭穿越大明，成为历史上不存在的皇孙。就在他经营多年，准备夺位时，神级对比系统激活。被朱铭改造的大明对比原生大明，到底哪个更好？新世界大明：朱铭......
特战：开局激活小哥模板,畔漾,1114万,179万,江奕穿越特战荣耀世界，与燕破岳、萧云杰成为发小。参军入伍这天，江奕获得角色模板系统，开局小哥模板，激活麒麟血脉！增加角色模板进度，即可获得相应的......
国运：我，星神萨隆！队友比比东,耀阳天榜,1114万,260万,国运禁地降临蓝星，每个国家选派三位选手进入禁地探险。龙国三位选手分别是拥有太虚星神萨隆模板的白洛，九十九级封号斗罗比比东以及一位龙国国运基地强者......
盗墓：开局吞噬血脉，进化至高神,濡�������涔�,1113万,210万,李文杰穿越到盗墓世界当中，意外获得上古的竹简，得知了一门可以吞噬血脉，竹简增强的法门，在这方盗墓世界之中妖兽不知几何。逐渐的在不断吞噬血脉融合的......
美漫：称霸多元宇宙，从纳妾开始,日万的废蓝,1113万,159万,穿越美漫，开启【家族系统】，壮大【家族】就给奖励！孤身一人的东方星，果断选择不断纳妾。【迎娶「魔形女」，获得「哨兵之力」！】【迎娶「黑凤凰」，获......
综武：传承人间剑圣！李寒衣表白,良人长��,1113万,142万,叶凡穿越到综武世界，获得了人间剑圣柳白的传承。他默默练剑二十年，身前一尺我无敌。因为一场误会，所有人都认为他倾心于李寒衣。“别再痴心妄想了，雪月......
军阀：从收服小阿俏开始,智多星,1113万,298万,一觉醒来，叶白懵逼了！因为他发现，自己竟然穿越到了《情深深雨���鳌返氖澜缋铩３晌�了秦五爷手下的一名小头目。并且，还激活了神级破防系统，只要能让人......
航海：开局融合光头强！只强！,同人天榜榜,1112万,301万,陈峰穿越海贼世界，激活万界融合系统，能够抽取万界人物模板，融合获得人物实力。然而，让陈峰没有想到的是，他第一个抽中的人物居然是光头强？开什么玩笑......
封神：守关百年，逼疯天道圣人！,天榜大壮,1112万,241万,穿越封神，成为佳梦关守将胡雷，火灵圣母弟子，截教四代亲传弟子。此时，封神大战已经过半，十绝阵被破，赵公明三宵都已经身陨。姜子牙兵分三路，其中洪锦......
玄幻：老祖掀棺而起了！,一条咸鱼a,1111万,260万,数百万年前，苏白穿越到了玄幻世界，因为才情太过恐怖，亲手开创出了一个属于自己的帝尊时代。他炼的丹，能引动诸天异象，紫气东来，是无数人争抢膜拜的仙......
武侠：黄蓉之母逼婚，李寒衣吃醋,地三鲜咩咩,1110万,115万,江辰穿越到综武世界，遇到身中特殊毒药的郭夫人，他只好拔枪相助……后来他入桃花岛复活了尸身保存完好，容貌依旧绝美的郭夫人之母冯蘅，传奇展开！郭襄：......
洪荒：开局忽悠鸿钧将世界降维,遥望天一,1110万,370万,穿越大千级洪荒，而且是肉身穿越只是凡人？地狱开局？什么，还有金手指？奥那没事了。执掌忽悠本源碎片，只要忽悠万事万物改变原定轨迹就能获得本源反哺，......
少年欢喜：宋倩和我妈是闺蜜,瑕疵,1110万,211万,开局穿越小欢喜世界，顾寒住进老妈闺蜜宋倩的家里。撞见乔英子洗澡又遭遇宋倩暴击。绑定了签到系统后的人生，更是趣味横生起来。宋倩：开始不是故意的，但......
魔卡时代：开局神话级天赋,金色黎明,1110万,243万,林风穿越到一个全球灾变，凶兽怪物横行的世界。在这里，人类觉醒天赋魂卡，就能够去封印凶兽怪物，成为魔卡师。而林风觉醒了神话级的天赋魂卡，可查探万物......
